name,gender,age,city,income
Myrtle Pittman,Male,43,Fohorde,2276.52
Jason Williamson,Female,56,Zidedsi,4198.31
Mina Rivera,Male,35,Daccuiri,515.40
Carrie Ellis,Male,55,Hembogib,9534.52
Henrietta Flores,Female,19,Elgumlik,2448.46
Arthur Garner,Female,44,Ginatup,9053.54
Lelia Peterson,Female,29,Nozootu,2903.34
Gene Ferguson,Female,42,Kiivumu,3123.58
Randy Yates,Male,61,Viepke,5352.38
Celia Griffin,Female,57,Jahenku,5336.26
Maude Edwards,Female,64,Jabhansi,9195.86
Leo Rodgers,Female,63,Hidniiga,7497.04
Ian Dixon,Female,37,Tekwiplim,1877.13
Hallie Hardy,Female,33,Celito,9511.16
Sallie Malone,Male,47,Kaduksiw,6093.99
Vera Richardson,Female,30,Mewreci,4214.27
Stella Carson,Female,25,Uheuvebis,5083.11
Tyler Reed,Male,47,Dotfoga,4676.55
Katherine Lloyd,Male,50,Buzaita,6973.55
Corey Carr,Female,53,Evohutaw,6062.32
Sara Andrews,Female,21,Lojlevef,5941.39
Leona Pittman,Male,22,Zoleru,7798.22
Genevieve Carlson,Female,52,Sotokwaf,6933.83
Olive Wise,Male,32,Obiepsoj,658.27
Ricky Sullivan,Male,27,Ridetpe,7441.93
Shane Poole,Female,39,Wevepcef,3582.29
Leon Howell,Male,60,Muhaben,1692.80
Austin Porter,Male,19,Ugolni,4709.85
Mario Johnson,Female,33,Aktufak,8637.23
Elva Figueroa,Female,47,Hehavdi,3645.89
Katherine Parks,Female,53,Pobikzij,1513.35
Willie Mullins,Male,64,Jiwoivu,1125.82
Lina Saunders,Female,57,Uwekoama,1939.50
Jon Morton,Male,33,Oratobu,9338.63
Jordan McGuire,Male,27,Dasuniej,9176.13
Jackson Casey,Female,27,Walsosabo,1970.99
Mario Goodman,Male,56,Wappuzzil,1572.64
Jessie Francis,Female,60,Simuros,6956.48
Rosa Garcia,Male,42,Koboztot,3317.03
Iva Anderson,Female,30,Horutav,8015.50
Mathilda Flores,Male,18,Enasete,8662.17
Allen Vargas,Female,29,Idujacat,6678.91
Norman Burgess,Male,64,Jemumwip,9698.32
Charlie Morgan,Male,20,Tavmauco,5491.77
Shawn Fitzgerald,Female,22,Elivopeta,7225.88
Edward Wong,Male,30,Mopalmel,4591.90
Rosa Carson,Male,31,Zinicduf,3356.07
Martin Copeland,Male,60,Bipsaka,3964.17
Glen Byrd,Female,25,Cetfiwece,428.79
Roger Gutierrez,Female,22,Arapcaz,9519.76
Susie Henderson,Male,51,Rasfagu,3194.89
Eliza Pittman,Male,18,Ehiujizec,3923.44
Rosie Bowers,Male,41,Igafadeh,9555.03
Danny Wheeler,Male,47,Dihpora,2992.78
Winifred Ortega,Female,49,Lulujeozo,496.30
Mabelle Ward,Female,19,Zuzulag,3685.28
Lee Ball,Male,37,Marzazaz,1120.32
Maurice Turner,Female,65,Kibpiwas,3426.17
Barbara Allison,Female,62,Wawimuj,3873.67
Marion Underwood,Female,47,Uzoruij,24.77
Hannah Fields,Male,58,Wavufga,3352.44
Alvin Thompson,Male,25,Matama,2506.75
Della Lopez,Female,34,Tarima,4217.10
Eddie Weber,Male,48,Buadha,3266.74
Emilie Martin,Female,40,Fawjidep,4339.13
Adelaide Zimmerman,Female,31,Fufnufci,4678.17
Gary Frazier,Female,44,Umacokaf,7302.99
Harriet Becker,Male,31,Latcage,8387.34
Walter Turner,Male,46,Vetjiuf,6374.31
Lee McCoy,Male,36,Ejefepup,7574.43
Harriet Mason,Male,55,Varocfi,9186.31
Gary Harris,Male,21,Cobucbuv,1003.76
Hunter Carroll,Female,18,Jukurba,8169.33
Tyler Cunningham,Male,53,Bitufmu,8363.54
Caleb Hoffman,Female,60,Kujoso,2971.12
Adeline Christensen,Female,38,Cizgowwuk,6759.45
Katharine Mills,Female,48,Pecijwi,3192.89
Chris Williams,Female,53,Ceetuc,7520.84
Lily Gilbert,Female,32,Semacohu,7218.67
Mina Boone,Female,33,Kopibecaz,4037.18
Theodore Campbell,Male,22,Ukujumo,56.57
Leona Reese,Male,30,Gafarveb,5157.51
Aaron McDaniel,Male,53,Kemconci,2841.85
Carl Little,Female,24,Reiwge,4000.87
William Burke,Male,63,Gawinlug,4520.33
Annie Rios,Male,41,Ohfuva,5153.92
Katherine Parsons,Female,55,Igicucem,1154.99
Earl Morgan,Male,36,Celgiosi,745.42
Kate Hoffman,Female,36,Wotulca,1271.95
Maggie Howard,Female,26,Bajevpo,8162.70
Lily Morris,Male,18,Upliku,8244.43
Johnny Diaz,Male,28,Zeruger,4940.14
Edward Carpenter,Female,44,Punodok,4809.07
Lida Curry,Male,54,Caumora,4164.35
Lida Hardy,Female,43,Nuhugabu,9234.32
Wayne Shaw,Male,21,Ozazunhed,7833.84
Francis Garner,Male,43,Uvuzile,8146.59
Bertie Porter,Female,30,Wijnela,7324.46
Jon Grant,Female,24,Tovwioga,5276.26
Terry Washington,Female,52,Pengodow,4750.39
Jose Jennings,Male,50,Aficunfav,8936.55
Connor Greer,Female,24,Mutakona,9605.01
Craig Gonzalez,Male,51,Opnarce,7001.35
Barbara Garza,Male,59,Lefganut,3489.98
Ophelia Martinez,Female,60,Navmorsic,5582.40
Lloyd Ramos,Male,24,Izediaci,1662.60
